genes,logFC,logCPM,F,PValue,FDR
maker-scaffold60-size148781-snap-gene-0.45,-13.0344798460045,13.1686361233274,6362.91226684279,2.42274160782645e-17,2.26235611338834e-13
augustus_masked-scaffold1647-size38519-abinit-gene-0.1,-12.7583917899739,10.9437047860698,4968.06326237125,1.02399148088901e-16,3.21388403713348e-13
maker-scaffold219-size92860-augustus-gene-0.17,-12.7943912059722,13.0626055144558,4629.52577850716,1.54444746527156e-16,3.21388403713348e-13
augustus_masked-scaffold238-size264187-abinit-gene-0.0,-12.9303847456214,11.4575928357158,4572.79185061372,1.65940532675322e-16,3.21388403713348e-13
snap_masked-scaffold147-size255492-abinit-gene-0.5,-12.471635596831,11.6226664888603,4544.31855495186,1.72086315974164e-16,3.21388403713348e-13
maker-scaffold129-size187042-snap-gene-1.60,-12.6653984852627,12.4633372900607,4044.83424918044,3.38939640892095e-16,5.27503061108397e-13
augustus_masked-scaffold19721-size620-abinit-gene-0.0,-11.1771682263865,10.440785709896,3918.67056252419,4.07587385773875e-16,5.43087416405579e-13
augustus_masked-scaffold153-size99568-abinit-gene-0.0,-12.3230028688182,12.1737126722624,3830.5514596257,4.65270864344039e-16,5.43087416405579e-13
augustus_masked-scaffold54-size515352-abinit-gene-4.2,-12.5215644315679,10.515443077541,3670.94223919731,5.96030149784349e-16,6.18414393187361e-13
maker-scaffold681-size147983-augustus-gene-1.18,-12.5483093855095,11.0755653177586,3310.59764889908,1.08725027201818e-15,1.01527430401058e-12
maker-scaffold203-size96283-augustus-gene-0.43,-12.5302386485331,11.2545960656452,3103.77127815981,1.58229426170469e-15,1.3432239832544e-12
maker-scaffold189-size95467-snap-gene-0.35,-12.7571713938756,11.0092630563835,2836.25930747596,2.6724122747978e-15,2.07958215183849e-12
augustus_masked-scaffold225-size216229-abinit-gene-0.9,-12.5799830158591,11.0376145056751,2459.25889191831,6.12243991971254e-15,4.39779569002121e-12
maker-scaffold114-size71434-snap-gene-0.42,-12.6231553496578,11.767537299018,2054.63905310655,1.7392233842203e-14,1.102408228743e-11
snap_masked-scaffold726-size73853-abinit-gene-0.6,-8.95562081263007,7.1603754855825,2048.27264317043,1.7708420894351e-14,1.102408228743e-11
snap_masked-scaffold156-size116054-abinit-gene-0.21,-12.3471207447077,10.9621578856789,1815.96097061383,3.56118960696363e-14,2.07839928436415e-11
maker-scaffold170-size82550-augustus-gene-0.26,-11.7480899493844,9.71731539195866,1698.60341337854,5.24674243621191e-14,2.8820047570204e-11
maker-scaffold787-size133522-snap-gene-0.24,-4.67696525153465,8.4315279768334,1541.48426744603,9.21008699623018e-14,4.7779884650443e-11
maker-scaffold284-size104229-augustus-gene-0.27,-5.06372949325492,9.63545071337235,1510.85648252292,1.03459993610139e-13,4.84351123681752e-11
augustus_masked-scaffold904-size79630-abinit-gene-0.0,-8.76731674260455,8.92265490980111,1497.78816512416,1.08801221904009e-13,4.84351123681752e-11
snap_masked-scaffold158-size227332-abinit-gene-1.17,-4.79885001606176,8.03501204866624,1497.4953725584,1.08924540558115e-13,4.84351123681752e-11
